test_idx,serial_fk_cycles,parallel_fk_jac_cycles,downstream_cycles,serial_total,parallel_total,speedup,pos_err_x,pos_err_y,pos_err_z
0,377,88,14,441,102,4.32,0.000000,-0.000031,0.000000
1,377,88,14,441,102,4.32,0.000000,0.000000,0.000000
2,377,88,14,441,102,4.32,-0.000015,0.000000,-0.000015
3,377,88,14,441,102,4.32,0.000000,-0.000031,-0.000015
4,377,88,14,441,102,4.32,0.000000,-0.000015,0.000000
5,377,88,14,441,102,4.32,0.000000,0.000000,0.000000
6,377,88,14,441,102,4.32,-0.000031,-0.000031,0.000000
7,377,88,14,441,102,4.32,0.000000,0.000000,0.000000
8,377,88,14,441,102,4.32,0.000000,-0.000015,0.000015
9,377,88,14,441,102,4.32,0.000000,-0.000015,0.000000
