test_idx,max_err_linear,max_err_angular,max_err_pose,max_err_linear_m,max_err_angular_unit
0,2,8,2,0.000031,0.000122
1,5,7,5,0.000076,0.000107
2,5,8,4,0.000076,0.000122
3,4,6,4,0.000061,0.000092
4,5,8,5,0.000076,0.000122
5,4,10,3,0.000061,0.000153
6,5,9,5,0.000076,0.000137
7,5,4,5,0.000076,0.000061
8,5,4,5,0.000076,0.000061
9,7,6,7,0.000107,0.000092
10,5,8,4,0.000076,0.000122
11,5,13,5,0.000076,0.000198
12,4,6,4,0.000061,0.000092
13,5,8,5,0.000076,0.000122
14,6,6,6,0.000092,0.000092
15,5,7,5,0.000076,0.000107
16,7,10,7,0.000107,0.000153
17,5,8,4,0.000076,0.000122
18,5,13,4,0.000076,0.000198
19,7,7,7,0.000107,0.000107
20,5,9,5,0.000076,0.000137
21,4,5,3,0.000061,0.000076
22,5,7,5,0.000076,0.000107
23,4,6,4,0.000061,0.000092
24,5,7,5,0.000076,0.000107
25,6,5,5,0.000092,0.000076
26,5,9,5,0.000076,0.000137
27,4,7,4,0.000061,0.000107
28,5,8,5,0.000076,0.000122
29,6,8,6,0.000092,0.000122
30,5,7,5,0.000076,0.000107
31,3,10,3,0.000046,0.000153
32,4,8,4,0.000061,0.000122
33,6,8,6,0.000092,0.000122
34,7,9,6,0.000107,0.000137
35,6,7,5,0.000092,0.000107
36,6,8,6,0.000092,0.000122
37,7,11,7,0.000107,0.000168
38,5,9,5,0.000076,0.000137
39,5,8,5,0.000076,0.000122
40,5,9,5,0.000076,0.000137
41,4,8,4,0.000061,0.000122
42,5,10,5,0.000076,0.000153
43,4,10,4,0.000061,0.000153
44,7,10,7,0.000107,0.000153
45,3,6,3,0.000046,0.000092
46,6,9,6,0.000092,0.000137
47,4,5,4,0.000061,0.000076
48,3,7,3,0.000046,0.000107
49,4,10,4,0.000061,0.000153
50,6,8,6,0.000092,0.000122
51,5,3,4,0.000076,0.000046
52,6,6,6,0.000092,0.000092
53,5,10,5,0.000076,0.000153
54,5,5,5,0.000076,0.000076
55,5,4,4,0.000076,0.000061
56,5,9,5,0.000076,0.000137
57,7,8,7,0.000107,0.000122
58,5,5,4,0.000076,0.000076
59,3,7,3,0.000046,0.000107
60,5,6,5,0.000076,0.000092
61,5,6,5,0.000076,0.000092
62,5,8,5,0.000076,0.000122
63,4,7,4,0.000061,0.000107
64,4,8,4,0.000061,0.000122
65,4,10,4,0.000061,0.000153
66,5,6,5,0.000076,0.000092
67,6,10,6,0.000092,0.000153
68,3,7,3,0.000046,0.000107
69,6,11,6,0.000092,0.000168
70,4,7,4,0.000061,0.000107
71,3,6,3,0.000046,0.000092
72,4,5,4,0.000061,0.000076
73,4,3,4,0.000061,0.000046
74,4,8,4,0.000061,0.000122
75,4,7,4,0.000061,0.000107
76,4,4,4,0.000061,0.000061
77,5,9,4,0.000076,0.000137
78,6,5,6,0.000092,0.000076
79,6,5,6,0.000092,0.000076
80,4,4,4,0.000061,0.000061
81,5,3,4,0.000076,0.000046
82,4,7,4,0.000061,0.000107
83,7,7,7,0.000107,0.000107
84,4,8,4,0.000061,0.000122
85,5,8,4,0.000076,0.000122
86,6,6,5,0.000092,0.000092
87,5,6,5,0.000076,0.000092
88,4,8,4,0.000061,0.000122
89,4,8,4,0.000061,0.000122
90,6,12,6,0.000092,0.000183
91,7,8,7,0.000107,0.000122
92,4,8,4,0.000061,0.000122
93,6,6,6,0.000092,0.000092
94,6,7,6,0.000092,0.000107
95,6,7,5,0.000092,0.000107
96,6,4,6,0.000092,0.000061
97,6,5,5,0.000092,0.000076
98,5,8,5,0.000076,0.000122
99,7,5,7,0.000107,0.000076
